City,Total stores
Hildesheim,838
Paderborn,1281
Bielefeld,1180
Kassel,691
Halle,722
Braunschweig,542
Salzgitter,583
Wolfsburg,490
Neuss,1831
Wuppertal,2063
Solingen,2036
Remscheid,2087
Dortmund,2116
Herne,2000
Bochum,2036
Essen,1981
Gelsenkirchen,1999
Oberhausen,1663
Bottrop,1917
Duisburg,1885
Moers,1824
Krefeld,1812
Leverkusen,1980
Bergisch Gladbach,1997
Aachen,1186
Bonn,1877
Trier,412
Hamm,1783
Mainz,1729
Koblenz,1762
Siegen,1980
Hagen,2098
Frankfurt am Main,1718
Offenbach am Main,1702
Darmstadt,1785
Wiesbaden,1706
Ludwigshafen am Rhein,1983
Mannheim,1998
Heidelberg,2153
Stuttgart,1735
Reutlingen,1589
Heilbronn,1828
Pforzheim,1709
Karlsruhe,1725
Ingolstadt,1070
Augsburg,1022
Ulm,1345
Erlangen,764
Regensburg,656
Erfurt,513
